building_name	bldg_id	no_of_cluster_spec_rms_reported	geo_dist	org_id	prek_cap	incl_class	no_of_cluster_rms_needed	organization_name	enroll	target_capacity	target_utilization
JULIA RICHMAN ED. COMPLEX - M	M480		2	M226		*		M226 SPED - M	50	62	81
MILLENNIUM HS - M	M824		2	M226		"#"		M226 SPED - M	10	0	0
P.S. 226 (FIRST PRESB CHURCH) - M	M875		2	M226				M226 SPED - M	24	40	60
P.S. 234 - M	M234	2	2	M234	0		4	P.S. 234 - M	643	504	128
P.S. 234 ANNEX - M	M843		2	M234				P.S. 234 - M	142	134	106
P.S. 40 - M	M040	5	2	M255			0	I.S. 255 - M	378	346	109
I.S. 260 - M	M933	2	2	M260			0	I.S. 260 - M	266	527	50
P.S. 59 (MEETH) - M	M267	4	2	M267	36		3	P.S. 267	261	384	68
P.S./I.S. 276 - M	M276	5	2	M276	0		4	P.S./I.S. 276 - M	875	733	119
P.S. 281 - M	M281	2	2	M281	70		1	PS 281 - THE RIVER SCHOOL	85	778	11
PARK WEST HS (ECF) - M	M535	12	2	M288			0	FOOD AND FINANCE HS - M	443	621	71
P.S./I.S. 89 - M	M089	1	2	M289			0	I.S. 89 - M	293	310	95
P.S. 290 - M	M190	2	2	M290	0		3	P.S. 290 - M	675	515	131
SEWARD PARK HS - M	M445	4	2	M294			0	ESSEX STREET ACADEMY - M	349	453	77
PARK WEST HS (ECF) - M	M535	8	2	M296			0	HOSPITALITY MANAGEMENT HS - M	431	781	55
I.S. 131 - M	M131	3	2	M298			0	PACE HIGH SCHOOL - M	421	547	77
PARK WEST HS (ECF) - M	M535	10	2	M300			0	URBAN ASSEMBLY HS - M	427	613	70
PARK WEST HS (ECF) - M	M535	0	2	M303			0	FACING HISTORY SCHOOL - M	417	478	87
SEWARD PARK HS - M	M445	3	2	M305			0	URBAN ASSEMBLY ACADEMY - M	326	454	72
SEWARD PARK HS - M	M445	1	2	M308			0	LOWER MANHATTAN ARTS - M	362	317	114
I.S. 70 - M	M070	2	2	M312			0	NYC LAB MIDDLE SCHOOL - M	573	660	87
BAYARD RUSTIN EDUCATIONAL COMP-M	M440	1	2	M313			0	JAMES BALDWIN SCHOOL - M	260	284	92
BROADWAY EDUCATION CAMPUS - M	M282	6	2	M316			0	URBAN ASSEMBLY SCHOOL - M	412	498	83
CENT HEADQUARTERS - M	M860	0	2	M343	0		1	P.S. 343 - M	123	72	171
J.H.S. 47 (SCH FOR THE DEAF) - M	M047	2	2	M347	107		2	P.S. 347 - M	214	425	50
WASHINGTON IRVING HS - M	M460	10	2	M374			0	GRAMMERCY ARTS HS - M	548	556	99
CHELSEA VOC HS - M	M615	3	2	M376			0	NYC ISCHOOL - M	433	511	85
BAYARD RUSTIN EDUCATIONAL COMP-M	M440	0	2	M392			0	MANHATTAN BUSINESS ACADEMY	426	517	82
HS OF GRAPHIC COMMUNICATION ARTS-M	M625	2	2	M393			0	THE BUSINESS OF SPORTS SCHOOL	420	509	83
I.S. 131 - M	M131	7	2	M394			0	EMMA LAZARUS HIGH SCHOOL	221	348	64
THE SPRUCE STREET EDUCATIONAL CAMPUS - M	M971	3	2	M397	60		3	THE SPRUCE STREET EDUCATIONAL CAMPUS - M	362	466	78
WASHINGTON IRVING HS - M	M460	1	2	M399			0	THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY	358	434	82
HS FOR ENVIRONMENTAL STUDIES - M	M834	14	2	M400			0	HS FOR ENVIRONMENTAL STUDIES - M	1312	1033	127
HEALTH PROFESSIONS HS (OL STY) - M	M475	5	2	M407			0	INSTITUTE FOR COLLABORATIVE ED - M	468	384	122
I.S. 17 - M	M017	3	2	M408			0	P.P.A.S. - M	512	551	93
SCHOOL FOR THE PHYSICAL CITY - M	M874	3	2	M411			0	BARUCH COLLEGE CAMPUS HS - M	439	528	83
I.S. 70 - M	M070	6	2	M412			0	NYC LAB HS - M	599	516	116
SCHL OF THE FUTURE (OLD BACON) - M	M660	7	2	M413			0	SCHOOL OF THE FUTURE - M	715	804	89
I.S. 70 - M	M070	5	2	M414			0	MUSEUM SCHOOL - M	462	480	96
ELEANOR ROOSEVELT HS - M	M855	8	2	M416			0	ELEANOR ROOSEVELT HS - M	531	620	86
MILLENNIUM HS - M	M824	1	2	M418			0	MILLENNIUM HS - M	619	525	118
BAYARD RUSTIN EDUCATIONAL COMP-M	M440	1	2	M419			0	LANDMARK HS - M	396	552	72
HEALTH PROFESSIONS HS (OL STY) - M	M475	20	2	M420			0	HS FOR HEALTH PROF & HUMAN SERV-M	1706	1140	150
BAYARD RUSTIN EDUCATIONAL COMP-M	M440	4	2	M422			0	I.S. 422 - M	478	301	159
HS FOR LEADERSHIP & PUBLIC SER - M	M894	11	2	M425			0	HS FOR LEADERSHIP & PUBLIC SERV-M	685	744	92
NORMAN THOMAS HS (ECF) - M	M620	3	2	M427			0	MANHATTAN ACADEMY OF ARTS AND LLANGUAGE - M	312	486	64
LEGACY HS FOR INTEGR. STUDIES - M	M883	3	2	M429			0	LEGACY HS FOR INTEGR. STUDIES - M	71	207	34
NORMAN THOMAS HS (ECF) - M	M620	1	2	M432			0	MURRAY HILL ACADEMY HS - M	305	481	63
BAYARD RUSTIN EDUCATIONAL COMP-M	M440	0	2	M437			0	HUDSON HS OF LEARNING TECH - M	462	349	132
WASHINGTON IRVING HS - M	M460	2	2	M438			0	INT'L HS AT UNION SQUARE - M	339	453	75
MANHATTAN VILLAGE ACADEMY - M	M873	9	2	M439			0	MANHATTAN VILLAGE ACADEMY - M	414	499	83
BALLET TECH/PUB. SCL FOR DANCE - M	M905	2	2	M442	0		1	BALLET TECH/PUB. SCL FOR DANCE- M	149	248	60
JULIA RICHMAN ED. COMPLEX - M	M480	4	2	M449			0	VANGUARD HS - M	469	535	88
JULIA RICHMAN ED. COMPLEX - M	M480	4	2	M459			0	MANHATTAN INTERNATIONAL HS - M	331	423	78
WASHINGTON IRVING HS - M	M460	9	2	M460			0	WASHINGTON IRVING HS - M	308	684	45
STUYVESANT HS (NEW) - M	M477	43	2	M475			0	STUYVESANT HS - M	3292	2780	118
HS FOR ECONOMICS & FINANCE - M	M833	8	2	M489			0	HS FOR ECONOMICS & FINANCE - M	767	741	104
NORMAN THOMAS HS (ECF) - M	M620	0	2	M500			0	UNITY HS - M	255	333	77
HS OF GRAPHIC COMMUNICATION ARTS-M	M625	2	2	M507			0	URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY - M	367	463	79
JULIA RICHMAN ED. COMPLEX - M	M480	11	2	M519			0	TALENT UNLIMITED HS - M	530	618	86
MURRY BERGTRAUM HS (ECF) - M	M520	27	2	M520			0	BERGTRAUM HS - M	1466	1963	75
P.S. 816 - M	M816	2	2	M527	0		1	P.S. 527 - M	92	509	18
J. K. ONASSIS HS FOR INT CAREERS-M	M486	7	2	M529			0	J. K. ONASIS HS FOR INT CAREERS-M	700	545	128
NYC PUBLIC SCHOOL REPERTORY CO - M	M896	3	2	M531			0	NYC PUBLIC SCHOOL REPERTORY CO - M	236	268	88
WASHINGTON IRVING HS - M	M460	2	2	M533			0	H.S. 533 - M	223	276	81
LEGACY HS FOR INTEGR. STUDIES - M	M883	4	2	M534			0	H.S. 534 - M	232	300	77
PARK WEST HS (ECF) - M	M535	10	2	M542			0	MANHATTAN BRIDGES - M	552	652	85
SEWARD PARK HS - M	M445	4	2	M543			0	NEW DESIGN HS - M	439	484	91
HS FOR ENVIRONMENTAL STUDIES - M	M834	2	2	M544			0	INDEPENDENCE HS - M	328	429	76
SEWARD PARK HS - M	M445	5	2	M545			0	DUAL LANGUAGE HS - M	410	460	89
WASHINGTON IRVING HS - M	M460	0	2	M546			0	H.S. 546 - M	241	342	70
LIBERTY HS - M	M451	4	2	M550			0	LIBERTY HS ACADEMY FOR NEWCOMERS-M	339	359	94
HARBOR HIGH BOATHOUSE - M	M871		2	M551				NEW YORK HARBOR SCHOOL - M			
NEW YORK HARBOR SCHOOL - M	M877	7	2	M551			0	NEW YORK HARBOR SCHOOL - M	439	412	107
CITY AS SCHOOL (OLD 95) - M	M641	3	2	M560			0	CITY-AS-SCHOOL - M	606	365	166
JULIA RICHMAN ED. COMPLEX - M	M480	2	2	M565			0	URBAN ACADEMY LABORATORY HS - M	159	277	57
SATELLITE ACADEMY - M	M920	2	2	M570			0	SATELLITE ACADEMY - M	255	353	72
MNHT COMP NIGHT&DAY (OL BACN X)-M	M661	3	2	M575			0	MNHT COMPR. NIGHT & DAY HS - M	403	421	96
BROADWAY EDUCATION CAMPUS - M	M282	5	2	M580			0	RICHARD R. GREEN HS OF TEACHING - M	593	572	104
HARVEY MILK SCHOOL - M	M807	0	2	M586			0	HARVEY MILK SCHOOL - M	75	120	63
FASHION INDUSTRIES VOC HS - M	M600	33	2	M600			0	FASHION INDUSTRIES VOC HS - M	1732	1952	89
BAYARD RUSTIN EDUCATIONAL COMP-M	M440	5	2	M605			0	HUMANITIES PREPARATORY ACAD - M	210	328	64
CHELSEA VOC HS - M	M615	5	2	M615			0	CHELSEA VOC HS - M	443	522	85
NORMAN THOMAS HS (ECF) - M	M620	13	2	M620			0	NORMAN THOMAS HS - M	200	805	25
HS OF GRAPHIC COMMUNICATION ARTS-M	M625	17	2	M625			0	HS OF GRAPHIC COMM. ARTS (VOC)-M	735	952	77
MIDTOWN EAST CAMPUS - M	M488	28	2	M630			0	ART & DESIGN VOC HS - M	1438	1409	102
SCL COOP TECH ED (MNH VOC HS) - M	M646	35	2	M645			0	SCHOOL FOR COOP TECH. ED. - M	0	502	0
OLD MANHATTAN VOC/TECH HS - M	M645	12	2	M655			0	LIFE SCIENCE SECONDARY SCHOOL - M	771	695	111
CHELSEA VOC HS - M	M615		2	M721		"#"		M721 SPED - M	6	0	0
CITY AS SCHOOL (OLD 95) - M	M641		2	M721	0		0	M721 SPED - M	160	219	73
P.S. 138 ANNEX (OLD M047 AX) - M	M844		2	M721				M721 SPED - M	13	41	32
LEGACY HS FOR INTEGR. STUDIES - M	M883		2	M721		"#"		M721 SPED - M	5	0	0
BROADWAY EDUCATION CAMPUS - M	M282	5	2	M896			0	I.S. 896 - M	350	355	99
HS FOR ENVIRONMENTAL STUDIES - M	M834		2	M973				RESTART - M	0	0	
P.S. 35 (OLD 58/MNHT HS) - M	M058		2	M984				LYFE			
JULIA RICHMAN ED. COMPLEX - M	M480		2	M984				LYFE			
CITY AS SCHOOL (OLD 95) - M	M641		2	M984				LYFE			
AUX. SERV-MAN. LEARNING CENTER - M**	M827		2	M984				LYFE			
HS FOR ENVIRONMENTAL STUDIES - M	M834		2	M984				LYFE			
P.S. 169 (ECF) - M	M169		2	MADM				QCPC - M			
CITY AS SCHOOL (OLD 95) - M	M641		2	MADM				HOME INSTRUCTION - M			
P.S. 2 - M	M002		2	MCBO				CHINESE-AMERICAN PLNG COUNCIL - M			
I.S. 70 - M	M070		2	MCBO				HUDSON GUILD - M			
P.S. 126 - M	M126		2	MCBO				YMCA - M			
P.S. 130 - M	M130		2	MCBO				CHINESE AMER. PLANNING COUN. - M			
I.S. 131 - M	M131		2	MCBO				CHINATOWN YMCA - M			
WASHINGTON IRVING HS - M	M460		2	MCBO				ACDP,FEGS,RAPP,CLEARY GOTTLIEB - M			
HS OF GRAPHIC COMMUNICATION ARTS-M	M625		2	MCBO				R.O.T.C. - M			
AUX. SERV-MAN. LEARNING CENTER - M**	M827		2	MCBO				GOOD SHEPHERD SERVICES - M			
AUX. SERV-MAN. LEARNING CENTER - M**	M827		2	MCEP				ADULT BASIC EDUCATION - M			
STUYVESANT HS (NEW) - M	M477		2	MDRG				SPARK - M			
P.S. 51 ELIAS HOWE - M	M338		2	MSBH				SCHOOL BASED HEALTH CENTER - M			
WASHINGTON IRVING HS - M	M460		2	MSBH				DOH DENTAL CLINIC, HEALTH CTR - M			
JULIA RICHMAN ED. COMPLEX - M	M480		2	MSBH				MT. SINAI HEALTH CENTER - M			
NORMAN THOMAS HS (ECF) - M	M620		2	MSBH				BELLEVUE HOSPITAL - M			
WASHINGTON IRVING HS - M	M460		2	MSFS				FOOD SERVICES - M			
MURRY BERGTRAUM HS (ECF) - M	M520		2	MSST				SCHOOL SAFETY - M			
P.S. 126 - M	M126		2	MUFT				UFT USE - M			
WASHINGTON IRVING HS - M	M460		2	MUFT				UFT USE - M			
MURRY BERGTRAUM HS (ECF) - M	M520		2	MUFT				UFT USE - M			
P.S. 35 (OLD 58/MNHT HS) - M	M058		2	Q950				PATHWAYS TO GRADUATION - Q	19	47	40
SCL COOP TECH ED (MNH VOC HS) - M	M646		2	Q950				PATHWAYS TO GRADUATION - Q	57	77	74
AUX. SERV-MAN. LEARNING CENTER - M**	M827	10	2	Q950			0	PATHWAYS TO GRADUATION - Q	401	924	48
THE COMMUNITY PREPARATORY HS - M	M835		2	Q950				PATHWAYS TO GRADUATION - Q	52	153	34
P.S. 51 ELIAS HOWE - M	M338		2	Q998				NYC SCHOOL CONSTRUCTION AUTHORITY - Q			
MID MAN ADULT LRNG CTR (81) - M	M081		3	K755				ADULT AND CONTINUING EDUCATION			
P.S. 9 - M	M009	5	3	M009	36		3	P.S. 9 - M	648	567	114
I.S. 54 - M	M054	7	3	M054			0	I.S. 54 - M	815	912	89
P.S. 75 - M	M075	2	3	M075	0		3	P.S. 75 - M	607	549	111
P.S. 76 - M	M076	1	3	M076	54		3	P.S. 76 - M	498	480	104
P.S. 84 - M	M084	4	3	M084	36		3	P.S. 84 - M	517	504	103
P.S. 87 - M	M087	7	3	M087	18		4	P.S. 87 - M	900	917	98
P.S. 145 - M	M145	3	3	M145	54		3	P.S. 145 - M	407	461	88
P.S. 149 (TANDEM M207) - M	M149		3	M149				P.S. 149 - M	0	35	0
P.S. 207 (TANDEM M149) - M	M207	3	3	M149	35		3	P.S. 149 - M	339	389	87
P.S. 163 - M**	M163	4	3	M163	18		6	P.S. 163 - M	505	555	113
P.S. 163 TRANSPORTABLE - M	M919		3	M163				P.S. 163 - M	120		
P.S. 165 - M	M165	4	3	M165	18		4	P.S. 165 - M	858	905	95
P.S. 166 - M	M166	4	3	M166	0		3	P.S. 166 - M	594	587	101
P.S. 180 - M	M180	5	3	M180	72		3	P.S. 180 - M	614	760	81
P.S. 185 (TANDEM M208) - M	M185	4	3	M185	54		2	P.S. 185 - M	224	272	82
P.S. 191 - M	M191	6	3	M191	54		3	P.S. 191 - M	514	644	80
P.S. 199 - M	M199	4	3	M199	0		4	P.S. 199 - M	838	738	114
P.S. 208 (TANDEM M185) - M	M208	4	3	M208	0		2	P.S. 208 - M	164	296	55
P.S. 76 - M	M076		3	M226		*		M226 SPED - M	52	57	91
P.S. 208 (TANDEM M185) - M	M208		3	M226				M226 SPED - M	41	60	68
P.S. 241 - M	M113	1	3	M241	0		1	P.S. 241 - M	99	192	52
P.S. 242 (OLD P144) - M	M144	0	3	M242	18		2	P.S. 242 - M	223	324	69
P.S. 9 - M	M009	0	3	M243	0		2	I.S. 243 - M	229	268	85
I.S. 44 - M	M044	3	3	M245			0	I.S. 245 - M	411	516	80
P.S. 84 - M	M084	2	3	M247			0	I.S. 247 - M	195	313	62
P.S. 75 - M	M075	0	3	M250			0	I.S. 250 - M	190	204	93
I.S. 118 - M	M118	5	3	M256			0	I.S. 256 - M	159	127	125
I.S. 118 - M	M118	1	3	M258			0	I.S. 258 - M	258	326	79
P.S. 241 - M	M113	1	3	M279			0	NEW OPPORTUNITY CHARTER SCHOOL - M	444	552	80
MARTIN LUTHER KING, JR. HS - M	M490	2	3	M283			0	MANHATTAN THEATER LAB - M	129	192	67
MARTIN LUTHER KING, JR. HS - M	M490	2	3	M299			0	SCHOOL FOR ARTS, IMAGINATION - M	435	435	100
MARTIN LUTHER KING, JR. HS - M	M490	2	3	M307			0	URBAN ASSEMBLY MEDIA - M	387	473	82
P.S. 185 (TANDEM M208) - M	M185	1	3	M329	0		3	HARLEM LINK CHARTER SCHOOL - M	220	96	229
P.S. 208 (TANDEM M185) - M	M208		3	M329				HARLEM LINK CHARTER SCHOOL - M	94	143	66
I.S. 118 - M	M118	3	3	M333	0		4	P.S. 333 - M	771	637	121
I.S. 44 - M	M044	4	3	M334	0		3	P.S. 334 - M	576	475	121
I.S. 88 - M	M088		3	M351				HARLEM SUCCESS ACADEMY CHARTER SCHOOL - M	210	322	65
P.S. 149 (TANDEM M207) - M	M149		3	M351				HARLEM SUCCESS ACADEMY CHARTER SCHOOL - M	346	388	89
P.S. 207 (TANDEM M149) - M	M207	3	3	M351	0		4	HARLEM SUCCESS ACADEMY CHARTER SCHOOL - M	355	271	131
P.S. 241 - M	M113	6	3	M386	0		3	HARLEM SUCCESS ACADEMY IV - M	448	374	120
P.S. 185 (TANDEM M208) - M	M185		3	M386				HARLEM SUCCESS ACADEMY IV - M	0	0	
P.S. 208 (TANDEM M185) - M	M208		3	M386				HARLEM SUCCESS ACADEMY IV - M	126	200	63
LOUIS D. BRANDEIS HS - M	M470	4	3	M402			0	THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS	395	442	89
LOUIS D. BRANDEIS HS - M	M470	2	3	M403			0	THE GLOBAL LEARNING COLLABORATIVE	480	521	92
LOUIS D. BRANDEIS HS - M	M470	5	3	M404			0	INNOVATION DIPLOMA PLUS	192	297	65
I.S. 88 - M	M088	14	3	M415			0	WADLEIGH ARTS HS - M	531	663	80
LOUIS D. BRANDEIS HS - M	M470	5	3	M417			0	FRANK MCCOURT HS- M	373	491	76
P.S. 145 - M	M145	0	3	M421			0	WEST PREP ACADEMY - M	214	256	84
I.S. 44 - M	M044	2	3	M452	0		2	P.S. 452 - M	220	200	110
BEACON HS - M	M837	13	3	M479			0	BEACON HS - M	1276	816	156
MID MAN ADULT LRNG CTR (81) - M	M081		3	M481				DEMOCRACY PREP HARLEM CHARTER SCHL - M	111	98	113
FIORELLO LAGUARDIA HS - M	M485	54	3	M485			0	FIORELLO LAGUARDIA HS - M	2730	2099	130
MARTIN LUTHER KING, JR. HS - M	M490	0	3	M492			0	HS FOR LAW ADVOCACY & JUSTICE - M	531	652	81
MARTIN LUTHER KING, JR. HS - M	M490	8	3	M494			0	HS FOR ARTS & TECHNOLOGY - M	588	744	79
EDWARD A. REYNOLDS WEST SIDE HS-M	M506	10	3	M505			0	EDWARD A. REYNOLDS WEST SIDE HS-M	522	695	75
