peer_index	_2009_2010_additional_credit	_2008_09_progress_report_grade	_2009_2010_performance_category_score	_2009_2010_performance_grade	principal	dbn	_2009_2010_progress_category_score	school	_2009_2010_overall_grade	district	progress_report_type	school_level	_2009_2010_environment_grade	_2009_2010_overall_score	_2009_2010_environment_category_score	_2009_2010_progress_grade
3.45	0.0	A	20.0	A	Alicia Perez-Katz	02M411	44.5	Baruch College Campus High School	A	2	HS	High School	B	74.5	10.0	A
3.22	3.0	A	25.0	A	Brooke Jackson	02M412	37.6	N.Y.C. Lab School for Collaborative Studies	A	2	HS	High School	B	74.9	9.3	B
2.85	6.0	A	19.4	A	Stacy Paige Goldstein	02M413	40.7	School of the Future High School	A	2	HS	High School	B	76.5	10.4	B
3.20	4.3	A	12.8	B	Stacy Paige Goldstein	02M413	20.1	School of the Future High School	B	2	EMS	Middle	B	45.0	7.8	C
2.97	6.0	A	20.9	A	Darlene Miller	02M414	48.8	N.Y.C. Museum School	A	2	HS	High School	D	81.8	6.1	A
3.60	0.0	A	22.3	A	Dimitri Saliani	02M416	46.9	Eleanor Roosevelt High School	A	2	HS	High School	A	80.7	11.5	A
3.34	3.0	A	19.2	A	Robert Rhodes	02M418	42.8	Millennium High School	A	2	HS	High School	A	76.9	11.9	A
2.24	6.0	C	12.4	C	Trevor Naidoo	02M419	27.5	Landmark High School	C	2	HS	High School	C	54.0	8.1	D
2.93	0.0	C	15.4	B	Robert Gentile	02M420	25.4	High School for Health Professions and Human Services	C	2	HS	High School	C	49.1	8.3	D
2.98					Elisa Aragon	02M422		Quest to Learn		2	EMS	Middle				
2.38	4.5	C	11.8	C	Lawrence Pendergast	02M425	33.6	Leadership and Public Service High School	B	2	HS	High School	C	58.1	8.2	C
1.94	0.0	D	7.5	F	Gregory Rodrigues	02M429	35.5	Legacy School for Integrated Studies	C	2	HS	High School	C	51.0	8.0	B
3.00	6.0	A	20.0	A	Hector Geager	02M439	57.7	Manhattan Village Academy	A	2	HS	High School	A	96.6	12.9	A
""					Nancy Amling	02M440		Bayard Rustin Educational Complex		2	HS	High School				
31.38	0.0	A	12.7	B	Roy Oneill	02M442	10.1	Ballet Tech, NYC Public School for Dance	C	2	EMS	K-8	A	34.3	11.5	F
2.29	1.5	A	11.3	D	Louis Delgado	02M449	29.3	Vanguard High School	C	2	HS	High School	A	53.7	11.6	C
2.52	0.0	A	14.5	B	Alan Krull	02M459	42.8	Manhattan International High School	A	2	HS	High School	A	70.8	13.5	A
2.18	3.0	C	7.9	F	Bernardo Ascona	02M460	32.3	Washington Irving High School	C	2	HS	High School	C	51.6	8.4	C
""	7.5		11.7	C	Roger Bradley	02M473	34.6	Washington Irving YABC	B	2	YABC	YABC	B	64.2	10.4	B
4.03	0.0	A	23.7	A	Stanley Teitel	02M475	39.6	Stuyvesant High School	A	2	HS	High School	B	72.2	8.9	B
2.79	1.5	B	15.8	B	Michael Stanzione	02M489	33.5	High School of Economics and Finance	C	2	HS	High School	D	57.2	6.4	C
1.95	1.5	A	17.9	A	Fausto De La Rosa	02M500	57.1	Unity Center for Urban Technologies	A	2	HS	High School	A	89.3	12.8	A
3.18	3.0	A	20.9	A	Linda Hamil	02M519	43.7	Talent Unlimited High School	A	2	HS	High School	D	74.0	6.4	A
2.47	4.5	D	12.1	C	Barbara A. Esmilla	02M520	20.5	Murry Bergtraum High School for Business Careers	D	2	HS	High School	F	42.8	5.7	F
2.48	4.5	C	19.5	A	Edward Demeo	02M529	28.3	Jacqueline Kennedy Onassis High School	B	2	HS	High School	D	58.5	6.2	C
2.82	3.0	A	17.4	B	Michael Mehmet Jr.	02M531	43.9	Repertory Company High School for Theatre Arts	A	2	HS	High School	B	73.9	9.6	A
2.32	9.0	A	20.9	A	Mirza Sanchez Medina	02M542	51.7	Manhattan Bridges High School	A	2	HS	High School	A	93.9	12.3	A
2.38	6.0	A	16.4	B	Scott Conti	02M543	39.5	New Design High School	A	2	HS	High School	C	70.3	8.4	B
2.31	0.0	C	9.2	F	Ron Smolkin	02M544	31.1	Independence High School	C	2	HST	High School Transfer	A	55.3	15.0	C
3.14	3.0	A	25.0	A	Li Yan	02M545	53.1	High School for Dual Language and Asian Studies	A	2	HS	High School	B	90.5	9.4	A
2.29	4.5	A	16.6	B	Melodee Khristan	02M550	43.7	Liberty High School Academy for Newcomers	A	2	HST	High School Transfer	C	72.4	7.6	A
2.20	7.5	A	18.4	A	Nathan Dudley	02M551	44.3	New York Harbor School	A	2	HS	High School	B	80.1	9.9	A
2.56	7.5	B	15.9	B	Antoniette Scarpinato	02M560	31.8	High School M560 - City As School	B	2	HST	High School Transfer	C	63.5	8.3	C
2.99	0.0	A	19.7	A	Herb Mack	02M565	38.5	Urban Academy Laboratory High School	A	2	HST	High School Transfer	A	73.2	15.0	B
2.36	3.0	C	10.1	D	Steven Zbaida	02M570	13.7	Satellite Academy High School	F	2	HST	High School Transfer	F	32.2	5.4	F
2.44	12.0	A	15.0	B	Michael Toise	02M575	40.0	Manhattan Comprehensive Night and Day High School	A	2	HST	High School Transfer	A	79.5	12.5	B
2.43	1.5	B	12.6	C	David Raubvogel	02M580	26.2	Richard R. Green High School of Teaching	C	2	HS	High School	B	50.7	10.4	D
2.00	3.0	B	15.4	B	Alan Nolan	02M586	44.5	Harvey Milk High School	A	2	HST	High School Transfer	D	68.8	5.9	A
2.74	15.0	A	21.7	A	Hilda Nieto	02M600	48.2	The High School of Fashion Industries	A	2	HS	High School	C	92.4	7.5	A
2.73	1.5	B	14.3	B	Julie Conason	02M605	36.8	Humanities Preparatory Academy	B	2	HST	High School Transfer	D	58.8	6.2	B
2.40	4.5	C	7.2	F	Brian Rosenbloom	02M615	38.0	Chelsea Career and Technical Education High School	C	2	HS	High School	D	55.8	6.1	B
2.20	1.5	D	8.4	F	Philip Martin Jr	02M620	23.3	Norman Thomas High School	F	2	HS	High School	F	36.0	4.3	F
2.24	0.0	C	5.6	F	Jerod Resnick	02M625	29.3	High School of Graphic Communication Arts	D	2	HS	High School	D	41.5	6.6	C
2.83	7.5	B	13.1	C	Eric Strauss	02M630	35.8	Art and Design High School	B	2	HS	High School	F	61.8	5.4	B
2.26	6.0	B	21.6	A	Genevieve Stanislaus	02M655	37.9	Life Sciences Secondary School	A	2	HS	High School	D	72.2	6.7	B
2.59	0.8	B	4.6	D	Genevieve Stanislaus	02M655	23.1	Life Sciences Secondary School	C	2	EMS	Middle	D	32.8	4.3	C
""					Junior Miller	02M690		School for the Physical City High School		2	HS	High School				
2.41	2.8	A	11.5	B	Kelly Mcguire	02M896	17.5	Lower Manhattan Community Middle School	C	2	EMS	Middle	B	40.4	8.6	D
20.05	2.0	A	15.4	A	Diane Brady	03M009	29.6	P.S. 009 Sarah Anderson	B	3	EMS	Elementary	A	57.7	10.7	B
""					Liza Ortiz	03M044		J.H.S. M044 William J. O'Shea		3	EMS	Middle				
3.45	5.8	A	14.0	B	Elana Elster	03M054	34.2	J.H.S. 054 Booker T. Washington	B	3	EMS	Middle	B	61.9	7.9	B
47.63	0.0	A	4.1	D	Robert O'brien	03M075	24.6	P.S. 075 Emily Dickinson	C	3	EMS	Elementary	C	33.5	4.8	B
58.84	0.5	A	0.0	F	Charles Deberry	03M076	22.7	P.S. 076 A. Philip Randolph	C	3	EMS	Elementary	D	27.1	3.9	C
43.87	0.0	A	0.0	F	Robin Sundick	03M084	19.8	P.S. 084 Lillian Weber	C	3	EMS	Elementary	D	23.3	3.5	C
18.92	2.8	A	8.4	C	Monica Berry	03M087	26.0	P.S. 087 William Sherman	B	3	EMS	Elementary	C	41.5	4.3	B
59.05	4.8	A	4.3	D	Ivelisse Alvarez	03M145	35.4	P.S. 145, The Bloomingdale School	B	3	EMS	Elementary	D	47.6	3.1	A
59.72	1.3	A	4.5	D	Kayrol Burgess Harper	03M149	32.3	P.S. 149 Sojourner Truth	B	3	EMS	K-8	B	45.2	7.1	B
41.28	0.0	A	9.0	C	Virginia Pepe	03M163	22.2	P.S. 163 Alfred E. Smith	C	3	EMS	Elementary	B	39.2	8.0	C
57.47	2.0	A	4.3	D	Pedro De La Cruz	03M165	29.8	P.S. 165 Robert E. Simon	B	3	EMS	K-8	B	43.8	7.7	B
25.24	0.0	B	3.2	D	Debbie J. Hand	03M166	10.1	P.S. 166 The Richard Rodgers School of The Arts and Technology	D	3	EMS	Elementary	B	19.8	6.5	F
55.03	4.3	A	8.9	C	Peter Mcfarlane	03M180	15.3	P.S. 180 Hugo Newman	C	3	EMS	K-8	A	40.4	11.9	D
59.62	3.0		2.9	F	Jane Murphy	03M185	5.6	P.S. 185 John M. Langston	C	3	EC	K-2	A	20.7	9.2	F
53.96	2.8	A	2.6	F	Maria Verdesoto	03M191	23.5	P.S. 191 Amsterdam	C	3	EMS	K-8	C	34.3	5.4	C
12.19	4.3	A	10.7	B	Katy Rosen	03M199	44.5	P.S. 199 Jessie Isador Straus	A	3	EMS	Elementary	B	67.0	7.5	A
61.71	1.5	A	3.1	D	Susan M. Green	03M208	22.7	P.S. 208 Alain L. Locke	C	3	EMS	Elementary	A	36.7	9.4	C
62.42	3.0	A	2.2	F	Diana Diaz	03M241	24.8	P.S. 241 Family Academy	C	3	EMS	K-8	B	37.0	7.0	B
57.47	0.0	A	1.1	F	Denise Gomez	03M242	21.3	P.S. M242 - Gwendolyn Powell Brown Computer School	C	3	EMS	Elementary	C	27.9	5.5	C
3.64	0.0	A	14.4	B	Elaine Schwartz	03M243	21.8	M.S. 243 Center School	B	3	EMS	Middle	A	50.0	13.8	C
3.24	2.0	A	8.7	C	Henry Zymeck	03M245	21.0	M.S. M245 The Computer School	B	3	EMS	Middle	A	43.8	12.1	C
""					Gary Harris Eisinger	03M246		M.S. M246 Crossroads School		3	EMS	Middle				
2.40	8.5	A	12.6	B	Claudia Aguirre	03M247	41.5	M.S. M247 Dual Language Middle School	A	3	EMS	Middle	A	76.3	13.7	A
2.38	7.0	A	11.9	B	Jeanne Rotunda	03M250	37.5	M.S. 250 West Side Collaborative Middle School	A	3	EMS	Middle	A	71.4	15.0	A
2.03	0.8	A	4.6	D	Jeffrey S. Perl	03M256	20.1	M.S. 256 Academic & Athletic Excellence	C	3	EMS	Middle	B	32.6	7.1	C
2.43	4.0	A	11.9	B	John Curry	03M258	37.2	Community Action School - MS 258	A	3	EMS	Middle	A	64.0	10.9	A
2.21	3.0	B	8.6	F	Evelyn Collins	03M283	29.6	Manhattan Theatre Lab High School	C	3	HS	High School	D	48.0	6.8	C
2.15	6.0	B	20.4	A	Stephen Noonan	03M299	33.2	High School for Arts, Imagination and Inquiry	B	3	HS	High School	C	67.6	8.0	C
2.19	7.5	C	15.1	B	Cordelia Veve	03M307	42.1	Urban Assembly School for Media Studies, The	A	3	HS	High School	B	74.1	9.4	A
24.69	2.0	B	2.2	F	Susan Rappaport	03M333	16.2	P.S. 333 Manhattan School for Children	C	3	EMS	K-8	B	27.9	7.5	D
6.50	0.0	A	24.8	A	Jodi Hyde	03M334	52.8	The Anderson School	A	3	EMS	K-8	A	91.0	13.4	A
2.21					Alexandra Rathmann-Noonan	03M402		THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS		3	HS	High School				
2.24					Jennifer Zinn	03M403		THE GLOBAL LEARNING COLLABORATIVE		3	HS	High School				
2.38					Casey Jones	03M404		INNOVATION DIPLOMA PLUS		3	HST	High School Transfer				
2.08	3.0	A	20.1	A	Herma Hall	03M415	31.9	Wadleigh Secondary School for the Performing & Visual Arts	B	3	HS	High School	F	60.0	5.0	C
2.41	1.5	A	7.7	C	Herma Hall	03M415	27.8	Wadleigh Secondary School for the Performing & Visual Arts	C	3	EMS	Middle	F	39.4	2.4	B
2.29					Emily Noto	03M421		WEST PREP ACADEMY		3	EMS	Middle				
""					Dr. Eloise Messineo	03M470		Louis D. Brandeis High School		3	HS	High School				
3.51	3.0	A	13.7	C	Ruth Lacey	03M479	48.5	Beacon High School	A	3	HS	High School	B	74.5	9.3	A
3.64	0.0	A	23.1	A	Kim Bruno	03M485	48.5	Fiorello H. LaGuardia High School of Music & Art and Performing Arts	A	3	HS	High School	C	79.0	7.4	A
2.33	13.5	A	17.1	B	Miriam Nightengale	03M492	46.6	High School for Law, Advocacy and Community Justice	A	3	HS	High School	C	85.7	8.5	A
2.34	1.5	A	14.5	B	Anne Geiger	03M494	39.4	High School of Arts and Technology	B	3	HS	High School	D	62.2	6.8	B
1.94	3.0	B	13.2	C	Jean Mctavish	03M505	32.0	Edward A. Reynolds West Side High School	B	3	HST	High School Transfer	C	56.4	8.2	C
3.26	0.0	A	18.3	A	Susan Kreisman	03M541	31.9	Manhattan / Hunter Science High School	B	3	HS	High School	A	61.4	11.2	C
""	3.0		17.8	B		03M577	26.2	Brandeis YABC	C	3	YABC	YABC	F	49.0	2.0	C
8.00	0.0		22.5	A	Katherine Banucci Smith	03M859	46.3	Special Music School	A	3	EMS	K-8	B	75.3	6.5	A
2.28	0.0	C	18.9	A	Latasha Greer	03M860	27.3	Frederick Douglass Academy II Secondary School	C	3	HS	High School	C	54.1	7.9	D
2.35	0.0	A	4.5	D	Latasha Greer	03M860	7.8	Frederick Douglass Academy II Secondary School	C	3	EMS	Middle	D	15.5	3.2	F
3.07	4.8	A	14.5	B	Ana De Los Santos	03M862	37.5	Mott Hall II	A	3	EMS	Middle	A	66.7	9.9	A
58.46	3.8	A	7.2	C	Racquel Jones	04M007	42.7	P.S. 007 Samuel Stern	A	4	EMS	K-8	B	61.4	7.7	A
39.33	0.0	A	20.1	A	Janette Cesar	04M012	29.0	Tag Young Scholars	A	4	EMS	K-8	A	58.9	9.8	B
2.13	1.0	A	4.4	D	Jacob Michelman	04M013	13.2	J.H.S. 013 Jackie Robinson	C	4	EMS	Middle	D	22.7	4.1	D
61.02	1.8	A	7.6	C	Alison Mckenzie	04M037	36.7	River East Elementary	B	4	EMS	Elementary	A	56.2	10.1	A
63.08	0.5	A	2.6	D	Norma Caraballo	04M038	22.2	P.S. 38 Roberto Clemente	C	4	EMS	Elementary	C	29.9	4.6	C
2.19	1.0	B	3.6	F	Maria Aviles	04M045	24.0	M.S. 45/S.T.A.R.S. Prep Academy	C	4	EMS	Middle	B	35.2	6.6	C
63.78	1.8	A	3.6	D	Rebekah Mitchell	04M050	17.4	P.S. 050 Vito Marcantonio	C	4	EMS	K-8	C	27.9	5.1	D
62.56	9.5	A	15.0	A	Israel Soto	04M057	35.7	James Weldon Johnson	A	4	EMS	K-8	A	74.5	14.3	A
65.94	5.5	A	8.8	C	Antonio Hernandez	04M072	32.2	The Lexington Academy	A	4	EMS	Elementary	A	58.6	12.1	B
59.17	1.5	A	20.0	A	Frances Castillo	04M083	51.2	P.S. 083 Luis Munoz Rivera	A	4	EMS	Elementary	A	84.1	11.4	A
