site_name	program_type	location_1/latitude	location_1/human_address/address	location_1/human_address/city	location_1/human_address/state	location_1/human_address/zip	location_1/longitude	agency	borough_community	program	grade_level_age_group	contact_number
Brooklyn Chinese-American Association	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.64107406995503	5006 8th Avenue	Brooklyn	NEW YORK	11220	-74.00379511862667	Brooklyn Chinese-American Association	Brooklyn	Adult Literacy	16+	(718) 438-0008
Brooklyn Chinese-American Association	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.614704025531445	6809 20th Avenue	Brooklyn	NEW YORK	11204	-73.98771039717887	Brooklyn Chinese-American Association	Brooklyn	Adult Literacy	16+	(718) 438-0008
PS 25 - Eubie Blake School	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED	40.691050099236115	787 Lafayette Avenue	Brooklyn	NEW YORK	11221	-73.94139499953165	CAMBA	Brooklyn	Adult Literacy	16+	(718) 940-1737 x 424
CAMBA	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED	40.65037559450013	885 Flatbush Avenue	Brooklyn	NEW YORK	11226	-73.95866477725933	CAMBA	Brooklyn	Adult Literacy	16+	(718) 940-1737 x 424
Catholic Charities Neighborhood Services	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.77152402451418	23 40 Astoria Boulevard	Astoria	NEW YORK	11102	-73.92643545073543	Catholic Charities Neighborhood Services	Astoria	Adult Literacy	16+	(718) 726-9790 x 128
Catholic Charities Neighborhood Services	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.77152402451418	9 18 27th Avenue	Astoria	NEW YORK	11102	-73.92643545073543	Catholic Charities Neighborhood Services	Astoria	Adult Literacy	16+	(718) 726-9790 x 128
Catholic Charities Neighborhood Services	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.749678220373596	35 33 104th Street	Corona	NEW YORK	11368	-73.85304068857687	Catholic Charities Neighborhood Services	Corona	Adult Literacy	16+	(718) 726-9790 x 128
Catholic Charities Neighborhood Services	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.761699790013324	25 63 22nd Street	Long Island City	NEW YORK	11106	-73.9316632529567	Catholic Charities Neighborhood Services	Long Island City	Adult Literacy	16+	(718) 726-9790 x 128
Chinatown Manpower Project, Inc	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.716141909295175	70 Mulberry Street	New York	NEW YORK	10013	-73.99917280924103	Chinatown Manpower Project, Inc	New York	Adult Literacy	16+	(212) 571-1691 x 235
Chinese American Planning Council	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.64613150332472	4101 8th Avenue	Brooklyn	NEW YORK	11232	-73.99844270592891	Chinese American Planning Council	Brooklyn	Adult Literacy	16+	(212) 941-0041 x 302
Chinese American Planning Council	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.64083540267695	4812 9th Avenue	Brooklyn	NEW YORK	11220	-74.00045650048278	Chinese American Planning Council	Brooklyn	Adult Literacy	16+	(212) 941-0041 x 302
Chinese American Planning Council	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.71698884234022	220 Church Street	New York	NEW YORK	10013	-74.00638009998525	Chinese American Planning Council	New York	Adult Literacy	16+	(212) 941-0041 x 302
CAB Community Center	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.8316941436386	1130 Grand	Bronx	NEW YORK	10456	-73.9160410469591	Citizens Advice Bureau	Bronx	Adult Literacy	16+	(718) 508-3132
Davidson Community Center	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.85374837851653	2038 Davidson Avenue	Bronx	NEW YORK	10453	-73.90853996733885	Citizens Advice Bureau	Bronx	Adult Literacy	16+	(718) 508-3132
CAB Immigration Office	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.85309059209145	2070 Grand Concourse	Bronx	NEW YORK	10457	-73.90280877587541	Citizens Advice Bureau	Bronx	Adult Literacy	16+	(718) 508-3132
IS 171 - Abraham Lincoln School	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.6861530810444	528 Ridgewood Avenue	Brooklyn	NEW YORK	11208	-73.86966791838911	Cypress Hills Local Development Corporation	Brooklyn	Adult Literacy	16+	(718) 647-2800
IS 204 - Oliver W. Holmes School	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.761699790013324	36 41 28 Street	Long Island City	NEW YORK	11106	-73.9316632529567	HANAC, INC.	Long Island City	Adult Literacy	16+	(212) 996-3949 x 12
Highbridge Community Life Center	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED	40.83388703055701	1038 Ogden Avenue	Bronx	NEW YORK	10452	-73.92880933918217	Highbridge Community Life Center	Bronx	Adult Literacy	16+	(718) 681-2222
Highbridge Community Life Center	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED	40.831063771587196	950 Anderson Avenue	Bronx	NEW YORK	10452	-73.92801825784692	Highbridge Community Life Center	Bronx	Adult Literacy	16+	(718) 681-2222
IS 52 - Inwood Junior High School	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.8659943773106	650 Academy Street	New York	NEW YORK	10034	-73.92483806023611	Inwood Community Services, Inc.	New York	Adult Literacy	16+	(212) 942-0043 x 126
Inwood Community Services, Inc.	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.866018005306515	651 Academy Street	New York	NEW YORK	10034	-73.92477264483693	Inwood Community Services, Inc.	New York	Adult Literacy	16+	(212) 942-0043 x 126
IS 126 - Astoria Intermediate School	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.761699790013324	31 51 21st Street	Astoria	NEW YORK	11106	-73.9316632529567	Jacob A Riis Neighborhood Settlement House	Astoria	Adult Literacy	16+	(718) 784-7447 x 112
Jewish Community Council of Greater Coney Island, Inc.	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.631085769961786	1081 Coney Island Avenue	Brooklyn	NEW YORK	11230	-73.96632046954319	Jewish Community Council of Greater Coney Island, Inc.	Brooklyn	Adult Literacy	16+	(718) 449-5000 x 2237
Jewish Community Council of Greater Coney Island, Inc.	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.598089925353555	2600 Ocean Avenue	Brooklyn	NEW YORK	11229	-73.95126983806618	Jewish Community Council of Greater Coney Island, Inc.	Brooklyn	Adult Literacy	16+	(718) 449-5000 x 2237
Jewish Community Council of Greater Coney Island, Inc.	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.66327557621057	283 Prospect Avenue	Brooklyn	NEW YORK	11215	-73.9890518678046	Jewish Community Council of Greater Coney Island, Inc.	Brooklyn	Adult Literacy	16+	(718) 449-5000 x 2237
Jewish Community Council of Greater Coney Island, Inc.	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.578431288322754	3049 Brighton 6th Street	Brooklyn	NEW YORK	11235	-73.961743706863	Jewish Community Council of Greater Coney Island, Inc.	Brooklyn	Adult Literacy	16+	(718) 449-5000 x 2237
Jewish Community Council of Greater Coney Island, Inc.	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.665762628592155	387 Kingston Avenue	Brooklyn	NEW YORK	11225	-73.94250335499902	Jewish Community Council of Greater Coney Island, Inc.	Brooklyn	Adult Literacy	16+	(718) 449-5000 x 2237
Jewish Community Council of Greater Coney Island, Inc.	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.63667021309369	4608 13th Avenue	Brooklyn	NEW YORK	11219	-73.9904592808461	Jewish Community Council of Greater Coney Island, Inc.	Brooklyn	Adult Literacy	16+	(718) 449-5000 x 2237
Jewish Community Council of Greater Coney Island, Inc.	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.60253429326686	8635 21st Avenue	Brooklyn	NEW YORK	11214	-73.99678043887103	Jewish Community Council of Greater Coney Island, Inc.	Brooklyn	Adult Literacy	16+	(718) 449-5000 x 2237
Korean Community Services of Metropolitan New York, Inc.	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.760350968822195	35 56 159th Street	Flushing	NEW YORK	11358	-73.79632645819947	Korean Community Services of Metropolitan New York, Inc.	Flushing	Adult Literacy	16+	(718) 353-2253
Latin American Integration Center	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.75163073936716	71 24 Roosevelt Avenue	Jackson Heights	NEW YORK	11372	-73.88361254528269	Make the Road New York	Jackson Heights	Adult Literacy	16+	(718) 418-7690 x 211
Latin American Integration Center	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.63093452909704	479 Port Richmond Avenue	Staten Island	NEW YORK	10302	-74.13901464968129	Make the Road New York	Staten Island	Adult Literacy	16+	(718) 418-7690 x 211
Latin American Integration Center	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.74519376448069	46 09 Skillman Avenue	Woodside	NEW YORK	11377	-73.9048471440804	Make the Road New York	Woodside	Adult Literacy	16+	(718) 418-7690 x 211
Lutheran Family Health Centers Adult & Family Education	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.64220161479856	330 59th Street	Brooklyn	NEW YORK	11220	-74.0191758017247	Lutheran Family Health Centers Adult & Family Education	Brooklyn	Adult Literacy	16+	(718) 630-7150 x 4070
Our Lady of Perpetual Help	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.639335782578094	552 59 Street	Brooklyn	NEW YORK	11220	-74.01443140643113	Lutheran Family Health Centers Adult & Family Education	Brooklyn	Adult Literacy	16+	(718) 630-7150 x 4070
Lutheran Family Health Centers Adult & Family Education	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.637992703156115	6025 6th Avenue	Brooklyn	NEW YORK	11220	-74.01409498889532	Lutheran Family Health Centers Adult & Family Education	Brooklyn	Adult Literacy	16+	(718) 630-7150 x 4070
Mercy Center, Inc.	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.81385583017525	377 145th Street	Bronx	NEW YORK	10454	-73.92035529273	Mercy Center, Inc.	Bronx	Adult Literacy	16+	(718) 993-2789 x 233
New Heights Neighborhood Center	Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED	40.842343769666854	216 Ft Washington Avenue	New York	NEW YORK	10032	-73.94220075868486	Northern Manhattan Improvement Corporation	New York	Adult Literacy	16+	(212) 822-8300
Opportunities for a Better Tomorrow	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.70091258928835	25 Thornton Street	Brooklyn	NEW YORK	11206	-73.94390057487814	Opportunities for a Better Tomorrow	Brooklyn	Adult Literacy	16+	(718) 369-0303
Queens Community House	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.75163073936716	74 09 37 Avenue	Jackson Heights	NEW YORK	11372	-73.88361254528269	Queens Community House	Jackson Heights	Adult Literacy	16+	(718) 898-7461
Ridgewood Bushwick Senior Citizens Council, Inc.	Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED	40.69784030864716	1474 Gates Avenue	Brooklyn	NEW YORK	11237	-73.91383248246076	Ridgewood Bushwick Senior Citizens Council, Inc.	Brooklyn	Adult Literacy	16+	(718) 381-9653
SCO Family of Services	Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED	40.69500799941421	75 Lewis Avenue	Brooklyn	NEW YORK	11206	-73.93742230252869	SCO Family of Services	Brooklyn	Adult Literacy	16+	(718) 455-1166
PS 225 - Eileen E Zaglin School	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.5797910944251	1075 Oceanview Avenue	Brooklyn	NEW YORK	11235	-73.95643350547934	Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.	Brooklyn	Adult Literacy	16+	(718) 891-0264
Oceanview Jewish Center	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.57664578354686	3100 Brighton 4th Street	Brooklyn	NEW YORK	11235	-73.96320963266943	Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.	Brooklyn	Adult Literacy	16+	(718) 891-0264
Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.575793969703795	3300 Coney Island Avenue	Brooklyn	NEW YORK	11235	-73.95950745079742	Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.	Brooklyn	Adult Literacy	16+	(718) 891-0264
SoBRO	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED	40.81594441525443	555 Bergen Avenue	Bronx	NEW YORK	10455	-73.91641591148277	SoBRO	Bronx	Adult Literacy	16+	(718) 292-3113 x 7611
SoBRO	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED	40.81100239694575	361 125th Street	New York	NEW YORK	10027	-73.95314550778141	SoBRO	New York	Adult Literacy	16+	(718) 292-3113 x 7611
IS 8 - R. S. Grossley Junior High School	Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED	40.71311535449007	108 35 167th Street	Jamaica	NEW YORK	11432	-73.79282099978928	SQPA-NY Southern Queens Park Association NY	Jamaica	Adult Literacy	16+	(718) 276-4630
SQPA-NY Southern Queens Park Association NY	Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED	40.6769452621142	177 01 Baisley Boulevard	Jamaica	NEW YORK	11434	-73.77530690169215	SQPA-NY Southern Queens Park Association NY	Jamaica	Adult Literacy	16+	(718) 276-4630
St. Nicholas NPC/Williamsburg Works	Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED	40.70493361836181	545 Broadway	Brooklyn	NEW YORK	11206	-73.94926253242915	St Nicholas NPC - Williamsburg Works	Brooklyn	Adult Literacy	16+	(718) 302-2057 x 204
The Arab American Family Support Center	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.688807894259774	150 Court Street	Brooklyn	NEW YORK	11201	-73.99283183663935	The Arab American Family Support Center	Brooklyn	Adult Literacy	16+	(718) 643-8000 x 19
The Fortune Society	Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED	40.74063893398753	53 23rd Street	New York	NEW YORK	10010	-73.98734451687551	The Fortune Society	New York	Adult Literacy	16+	(212) 691-7554
The Jewish Community Center of Staten Island	Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED	40.565263465623865	1297 Arthur Kill Road	Staten Island	NEW YORK	10312	-74.18400335105152	The Jewish Community Center of Staten Island	Staten Island	Adult Literacy	16+	(718) 508-3881
The Jewish Community Center of Staten Island	Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED	40.618099835028865	285 Vanderbilt Avenue	Staten Island	NEW YORK	10304	-74.08072506821757	The Jewish Community Center of Staten Island	Staten Island	Adult Literacy	16+	(718) 508-3881
The Jewish Community Center of Staten Island	Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED	40.630627751644205	475 Victory Boulevard	Staten Island	NEW YORK	10301	-74.08851956408898	The Jewish Community Center of Staten Island	Staten Island	Adult Literacy	16+	(718) 508-3881
The Jewish Community Center of Staten Island	Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED	40.63034573041622	485 Victory Boulevard	Staten Island	NEW YORK	10301	-74.08886716173346	The Jewish Community Center of Staten Island	Staten Island	Adult Literacy	16+	(718) 508-3881
Turning Point Education Center	Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED	40.64235365356344	5013 7th Avenue	Brooklyn	NEW YORK	11220	-74.00596380753073	Turning Point (aka Discipleship Outreach Ministries, Inc.)	Brooklyn	Adult Literacy	16+	(718) 360-8171
Turning Point	Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED	40.64252330888736	5224 6th Avenue	Brooklyn	NEW YORK	11220	-74.00947286580126	Turning Point (aka Discipleship Outreach Ministries, Inc.)	Brooklyn	Adult Literacy	16+	(718) 360-8171
Washington Houses Community Center	Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED	40.7870466388226	1775 3rd Avenue	Manhattan	NEW YORK	10029	-73.94792934815561	Union Settlement Association	Manhattan	Adult Literacy	16+	(212) 828-6298
Union Settlement Association	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED	40.78992458809426	237 104th Street	Manhattan	NEW YORK	10029	-73.94476913120286	Union Settlement Association	Manhattan	Adult Literacy	16+	(212) 828-6298
Flatbush YMCA	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.636590672567	1401 Flatbush Avenue	Brooklyn	NEW YORK	11210	-73.95160259310835	YMCA of Greater New York / ELESAIR	Brooklyn	Adult Literacy	16+	(212) 875-4336
Harlem YMCA	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.81502333827274	180 135th Street	New York	NEW YORK	10030	-73.94312298241152	YMCA of Greater New York / ELESAIR	New York	Adult Literacy	16+	(212) 875-4336
YMCA of Greater New York / ELESAIR	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.739101600703236	229 14th Street	New York	NEW YORK	10011	-74.00098044651992	YMCA of Greater New York / ELESAIR	New York	Adult Literacy	16+	(212) 875-4336
YWCA of Queens	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.7512997969481	42 08 Parsons Boulevard	Flushing	NEW YORK	11355	-73.82147854789662	YWCA of Queens	Flushing	Adult Literacy	16+	(718) 353-4553
Murray Bergtraum HS	After-School Programs,NDA Programs,Youth Educational Support	40.71134852287901	411 Pearl Street	New York	NEW YORK	10001	-74.00080058211404	BCA Sunset Park Asian Senior Center	New York	High-School Aged Youth	High School	(212) 748-1225
NEW UTRECHT HIGH SCHOOL (K445)	After-School Programs,NDA Programs,Youth Educational Support	40.61345273159829	1601 80 Street	Brooklyn	NEW YORK	11210	-74.00368977353216	BCA 6th Avenue Senior Center	Brooklyn	High-School Aged Youth	High School	(718) 951-5015
Brooklyn College Arts Lab	After-School Programs,NDA Programs,Youth Educational Support	40.631966842282914	2900 Bedford Avenue	Brooklyn	NEW YORK	11210	-73.95273309690995	NEW UTRECHT HIGH SCHOOL (K445)	Brooklyn	High-School Aged Youth	High School	(718) 951-5015
School for Democracy and Leadership	After-School Programs,NDA Programs,Youth Educational Support	40.65842083126725	600 Kingston Avenue	Brooklyn	NEW YORK	11226	-73.94242794666333	Brooklyn College Arts Lab	Brooklyn	High-School Aged Youth	High School	(718) 287-2600
Metropolitan Diploma Plus High School (K647)	After-School Programs,NDA Programs,Youth Educational Support	40.656451255408264	985 ROCKAWAY AVENUE	Brooklyn	NEW YORK	11226	-73.90732282830548	Brooklyn Housing & Family Services, Inc.	Brooklyn	High-School Aged Youth	High School	(718) 287-2600
The Children's Art Carnival	After-School Programs,NDA Programs,Youth Educational Support	40.82332310874716	62 Hamilton Terrace	New York	NEW YORK	10031	-73.94609482307175	Brooklyn Housing & Family Services, Inc.	New York	High-School Aged Youth	High School	(212) 234-4093
PS 173	After-School Programs,NDA Programs,Youth Educational Support	40.84561730185351	306 Fort Washington Avenue	New York	NEW YORK	10033	-73.94042010106682	Brooklyn Housing & Family Services	New York	High-School Aged Youth	High School	(212) 923-7766
